Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.23702,-0.17913,0.050831,0,0,0,1.7142,0.0030524,-4.9661E-12,-3.0934E-05,0.0053771,1.3096E-11,0.0082758,0,0,0,0,0,0,package://modification2_2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/base_link.STL,,20x20 70-6;20x20 290-4;20x20 70-7;20x20 190-5;20x20 70-8;20x20 150-1;20x20 290-3;20x20 200-2;20x20 200-1;20x20 190-4;20x20 190-3;plate-4;plate-5;20x20 70-5;20x20 70-9;20x20 190-6;20x20 70-11;plate1-1;suspension-3;suspension-4;suspension-1;suspension-2;lidar box-1;20x20 45-1;20x20 45-2;camera box-1;camera box-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.0024482,0.0034343,0.0077474,0,0,0,0.023946,1.0721E-06,-6.4768E-21,3.9492E-22,5.9742E-06,-6.8611E-23,5.3013E-06,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel_suspension.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel_suspension.STL,,suspension2-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.17302,-0.25638,-0.025183,1.5708,-0.0058285,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
left_front_wheel_motor,-0.0084619,0.0059275,-0.020684,0,0,0,0.041167,1.155E-05,-2.9641E-09,-1.6485E-08,6.938E-06,1.5645E-07,9.579E-06,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel_motor.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel_motor.STL,,Dynamixel MX-28-18,Origin_left_front_wheel_motor_joint2,Axis_left_front_wheel_motor_joint,left_front_wheel_motor_joint,fixed,0.000300000000000022,-0.021785446729879,-0.00999999999999998,3.14159265358979,0,-1.5707963267949,left_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
left_front_wheel,0.023587,-0.0084106,-0.0040275,0,0,0,0.22822,0.00078921,5.3331E-21,3.9085E-18,0.00041043,-3.2399E-19,0.00041043,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://modification2_2/meshes/left_front_wheel.STL,,Wheel_3dprintABS-12,Origin_left_front_wheel_joint3,Axis_left_front_wheel_joint3,left_front_wheel_joint,continuous,0,0.0133000000000001,-0.0247499999999968,1.56496784847997,1.5707963267949,0,left_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.0024482,-0.0049997,0.0077474,0,0,0,0.023946,1.0721E-06,-5.8345E-21,1.7083E-21,5.9742E-06,5.9434E-23,5.3013E-06,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel_suspension.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel_suspension.STL,,suspension2-2,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.173017310205243,-0.0863808182699648,-0.0251829837934054,1.5707963267949,-0.00582847831492263,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
right_front_wheel_motor,-2.7958E-05,0.0059275,-0.0051891,0,0,0,0.041167,1.155E-05,-2.9641E-09,-1.6485E-08,6.938E-06,1.5645E-07,9.579E-06,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel_motor.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel_motor.STL,,Dynamixel MX-28-19,Origin_right_front_wheel_motor_joint2,Axis_right_front_wheel_motor_joint,right_front_wheel_motor_joint,fixed,0.000299999999999967,-0.021785446729879,0.01,0,0,1.5707963267949,right_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
right_front_wheel,0.0080918,-2.3188E-05,-0.0039784,0,0,0,0.22822,0.00078921,-1.2068E-20,-1.3167E-18,0.00041043,-3.3749E-19,0.00041043,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://modification2_2/meshes/right_front_wheel.STL,,Wheel_3dprintABS-13,Origin_right_front_wheel_joint3,Axis_right_front_wheel_joint3,right_front_wheel_joint,continuous,0,0.0133,-0.02475,1.57662480510982,1.5707963267949,0,right_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
camera,0.05972,0.0025728,0.0086007,0,0,0,0.043612,4.2948E-06,8.7977E-10,1.0233E-09,2.2106E-05,1.3219E-08,2.3571E-05,0,0,0,0,0,0,package://modification2_2/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/camera.STL,,Webcam_C920-4,Origin_camera,Axis_camera,camera,fixed,0.127285028685578,-0.121173837611466,0.100548577023616,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
myrio,0.029802,-0.019081,-0.0073103,0,0,0,0.2728,0.00018312,9.7818E-08,1.3278E-06,0.00058403,-1.3394E-07,0.0004265,0,0,0,0,0,0,package://modification2_2/meshes/myrio.STL,0.14902,0.14902,0.14902,1,0,0,0,0,0,0,package://modification2_2/meshes/myrio.STL,,NI myRIO2-1,Origin_myrio,Axis_myrio,myrio,fixed,0.261041499396395,-0.185631459517847,0.113328386370531,1.5707963267949,-0.0058284783149254,0,base_link,0,0,0,,,,,,,,,,,,
intel,-0.0040354,0.016954,0.05597,0,0,0,0.39954,0.00043203,-1.8338E-07,-3.1716E-07,0.00083697,4.7745E-07,0.00047302,0,0,0,0,0,0,package://modification2_2/meshes/intel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/intel.STL,,Intel NUC-2,Origin_intel,Axis_intel,intel,fixed,0.205522597365492,-0.109366659682657,-0.0259953857991605,1.5707963267949,-0.00582847831492263,0,base_link,0,0,0,,,,,,,,,,,,
nvidia,-0.011063,0.0092094,-0.17116,0,0,0,0.24039,0.00035768,-3.6191E-09,-2.9294E-07,0.00074648,4.0353E-06,0.0003994,0,0,0,0,0,0,package://modification2_2/meshes/nvidia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/nvidia.STL,,NVDIA_Jetson-4,Origin_nvidia,Axis_nvidia,nvidia,fixed,0.418367655264176,-0.191953362348841,0.0363810058695082,-1.57662480510981,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
"pusher ",-0.0074595,-0.050092,0.016898,0,0,0,0.22566,0.00042306,1.8219E-09,1.615E-10,0.00092302,-3.2094E-05,0.0012554,0,0,0,0,0,0,package://modification2_2/meshes/pusher .STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/pusher .STL,,pusher-1,"Origin_pusher ","Axis_pusher ","pusher ",fixed,0.12800972713721,-0.171668848940021,0.00555337054790796,3.13576417527487,0,1.5707963267949,base_link,0,0,0,0,0,0,0,,,,,,,,
camera2,-0.00091282,0.020118,-0.0016659,0,0,0,0.043612,4.2947E-06,9.8013E-10,7.0878E-10,2.2285E-05,4.8105E-07,2.339E-05,0,0,0,0,0,0,package://modification2_2/meshes/camera2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/camera2.STL,,Webcam_C920-6,Origin_camera2,Axis_camera2,camera2,fixed,0.12829,-0.12117,0.18555,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,-0.0024482,-0.0049997,0.0077474,0,0,0,0.023946,1.0721E-06,7.7114E-21,1.2963E-22,5.9742E-06,3.0104E-22,5.3013E-06,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel_suspension.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel_suspension.STL,,suspension2-4,Origin_left_rear_wheel_suspension_joint2,Axis_left_rear_wheel_suspension_joint,left_rear_wheel_suspension_joint,prismatic,0.433013447649035,-0.256382133064,-0.0237625829176585,1.5707963267949,-0.00582847831492541,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
left_rear_wheel_motor,-2.7958E-05,0.0059275,-0.020684,0,0,0,0.041167,1.155E-05,-2.9641E-09,-1.6485E-08,6.938E-06,1.5645E-07,9.579E-06,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel_motor.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel_motor.STL,,Dynamixel MX-28-21,Origin_left_rear_wheel_motor_joint2,Axis_left_rear_wheel_motor_joint,left_rear_wheel_motor_joint,fixed,-0.000300000000000022,-0.021785446729879,-0.01,3.14159265358979,0,-1.5707963267949,left_rear_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
left_rear_wheel,0.023587,2.3188E-05,-0.0039784,0,0,0,0.22822,0.00078921,1.0227E-21,3.9277E-18,0.00041043,-3.3781E-19,0.00041043,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://modification2_2/meshes/left_rear_wheel.STL,,Wheel_3dprintABS-15,Origin_left_rear_wheel_joint3,Axis_left_rear_wheel_joint3,left_rear_wheel_joint,continuous,0,0.0133,-0.0247499999999941,1.56496784847997,1.5707963267949,0,left_rear_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
imu,-0.0039784,0.0035868,0.011499,0,0,0,0.00051,5.3125E-09,-5.0891E-24,-1.5775E-25,8.5E-09,-1.535E-25,5.3125E-09,0,0,0,0,0,0,package://modification2_2/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://modification2_2/meshes/imu.STL,,imu-1,Origin_imu3,Axis_imu,imu,fixed,0.22184628166145,-0.21263145951784,0.176101005413663,1.5707963267949,-0.00582847831492264,0,base_link,0,0,0,,,,,,,,,,,,
right_rear_wheel_suspension,-0.0024482,-0.0049997,0.0077474,0,0,0,0.023946,1.0721E-06,6.9281E-21,1.0056E-21,5.9742E-06,2.3797E-22,5.3013E-06,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel_suspension.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel_suspension.STL,,suspension2-3,Origin_right_rear_wheel_suspension_joint2,Axis_right_rear_wheel_suspension_joint,right_rear_wheel_suspension_joint,prismatic,0.433012893967015,-0.0863808182699648,-0.0236675880115178,1.5707963267949,-0.00582847831492541,0,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
right_rear_wheel_motor,-2.7958E-05,0.0059275,-0.0051891,0,0,0,0.041167,1.155E-05,-2.9641E-09,-1.6485E-08,6.938E-06,1.5645E-07,9.579E-06,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel_motor.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel_motor.STL,,Dynamixel MX-28-20,Origin_right_rear_wheel_motor_joint2,Axis_right_rear_wheel_motor_joint,right_rear_wheel_motor_joint,fixed,-0.000300000000000245,-0.021785446729879,0.01,0,0,1.5707963267949,right_rear_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
right_rear_wheel,0.0080918,-2.3188E-05,-0.0039784,0,0,0,0.22822,0.00078921,-7.0377E-21,-1.3201E-18,0.00041043,-3.6638E-19,0.00041043,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://modification2_2/meshes/right_rear_wheel.STL,,Wheel_3dprintABS-14,Origin_right_rear_wheel_joint3,Axis_right_rear_wheel_joint3,right_rear_wheel_joint,continuous,0,0.0132999999999999,-0.0247500000000009,1.57662480510982,1.5707963267949,0,right_rear_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
lidar,-0.082003,0.75286,0.13434,0,0,0,0.073085,1.9581E-05,-4.2839E-07,1.0393E-07,4.1418E-05,-9.4274E-09,2.4125E-05,0,0,0,0,0,0,package://modification2_2/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/lidar.STL,,RPLidar-6,Origin_lidar_joint2,Axis_lidar_joint,lidar_joint,fixed,0.27205409893947,-0.0408261666002637,-0.550658139659127,1.5707963267949,-0.0058284783149254,0,base_link,0,0,0,,,,,,,,,,,,
camera3,0.049836,-0.061784,-0.068723,0,0,0,0.043612,4.2947E-06,6.8442E-10,9.9729E-10,2.2105E-05,2.1765E-08,2.357E-05,0,0,0,0,0,0,package://modification2_2/meshes/camera3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modification2_2/meshes/camera3.STL,,Webcam_C920-5,Origin_camera3,,camera3,fixed,0.17055,-0.18815,0.084128,-1.914,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
